Entity,http://xmlns.com/foaf/0.1/firstName,http://xmlns.com/foaf/0.1/surname,[full name],[VIAF ID],[VIAF URI]
http://lexbib.org/agents/person#RobnikSikonjaMarko,Marko,Robnik-Šikonja,Marko Robnik-Šikonja,,
http://lexbib.org/agents/person#RueterJack,Jack,Rueter,Jack Rueter,,
http://lexbib.org/agents/person#RundellMichael,Michael,Rundell,Michael Rundell,,
http://lexbib.org/agents/person#SaboOlga,Olga,Sabo,Olga Sabo,,
http://lexbib.org/agents/person#SanMartinAntonio,Antonio,San Martín,Antonio San Martín,,
http://lexbib.org/agents/person#SauriRoser,Roser,Saurí,Roser Saurí,,
http://lexbib.org/agents/person#SchierholzStefanJ,Stefan J.,Schierholz,Stefan J. Schierholz,,
http://lexbib.org/agents/person#SchutzNatassia,Natassia,Schutz,Natassia Schutz,,
http://lexbib.org/agents/person#ShapiroRichard,Richard,Shapiro,Richard Shapiro,,
http://lexbib.org/agents/person#SharmaNirwan,Nirwan,Sharma,Nirwan Sharma,,
http://lexbib.org/agents/person#SiegelJasonF,Jason F.,Siegel,Jason F. Siegel,,
http://lexbib.org/agents/person#SilvaDiasIdaleteMaria,Idalete Maria,Silva Dias,Idalete Maria Silva Dias,,
http://lexbib.org/agents/person#SkadinaInguna,Inguna,Skadiņa,Inguna Skadiņa,,
http://lexbib.org/agents/person#SmithOreChristianEmil,Christian-Emil,Smith Ore,Christian-Emil Smith Ore,"1,13145970160232E+020",https://viaf.org/viaf/113145970160232251366
http://lexbib.org/agents/person#StankovicRanka,Ranka,Stanković,Ranka Stanković,,
http://lexbib.org/agents/person#SteingrimssonSteinþor,Steinþór,Steingrímsson,Steinþór Steingrímsson,"3,46152138586111E+020",https://viaf.org/viaf/346152138586110980633
http://lexbib.org/agents/person#StemleEgonW,Egon W.,Stemle,Egon W. Stemle,,
http://lexbib.org/agents/person#StepankovaBarbora,Barbora,Štěpánková,Barbora Štěpánková,,
http://lexbib.org/agents/person#StijovicRada,Rada,Stijović,Rada Stijović,,
http://lexbib.org/agents/person#StorjohannPetra,Petra,Storjohann,Petra Storjohann,,
http://lexbib.org/agents/person#StosicDejan,Dejan,Stosic,Dejan Stosic,,
http://lexbib.org/agents/person#SuleKatalin,Katalin,Sule,Katalin Sule,,
http://lexbib.org/agents/person#SørensenNicolaiH,Nicolai H.,Sørensen,Nicolai H. Sørensen,,
http://lexbib.org/agents/person#TavastArvi,Arvi,Tavast,Arvi Tavast,83589817,https://viaf.org/viaf/83589817
http://lexbib.org/agents/person#TiberiusCarole,Carole,Tiberius,Carole Tiberius,,
http://lexbib.org/agents/person#TittelSabine,Sabine,Tittel,Sabine Tittel,,
http://lexbib.org/agents/person#TrapJensenLars,Lars,Trap-Jensen,Lars Trap-Jensen,,
http://lexbib.org/agents/person#TroelsgardThomas,Thomas,Troelsgård,Thomas Troelsgård,"7,21491965823748E+019",https://viaf.org/viaf/72149196582374792665
http://lexbib.org/agents/person#VacalopoulouAnna,Anna,Vacalopoulou,Anna Vacalopoulou,,
http://lexbib.org/agents/person#ValcarcelRiveiroCarlos,Carlos,Valcárcel Riveiro,Carlos Valcárcel Riveiro,87334270,https://viaf.org/viaf/87334270
http://lexbib.org/agents/person#VasilakiKiki,Kiki,Vasilaki,Kiki Vasilaki,,
http://lexbib.org/agents/person#VavilovaZhanna,Zhanna,Vavilova,Zhanna Vavilova,,
http://lexbib.org/agents/person#VeisbergsAndrejs,Andrejs,Veisbergs,Andrejs Veisbergs,42163481,https://viaf.org/viaf/42163481
http://lexbib.org/agents/person#VillalvaAlina,Alina,Villalva,Alina Villalva,,
http://lexbib.org/agents/person#VitasDusko,Duško,Vitas,Duško Vitas,,
http://lexbib.org/agents/person#VodrazkovaVeronika,Veronika,Vodrážková,Veronika Vodrážková,,
http://lexbib.org/agents/person#VrbincAlenka,Alenka,Vrbinc,Alenka Vrbinc,"4,73144782726105E+020",https://viaf.org/viaf/473144782726104518916
http://lexbib.org/agents/person#WahlSabrina,Sabrina,Wähl,Sabrina Wähl,,
http://lexbib.org/agents/person#WiatrAleksander,Aleksander,Wiatr,Aleksander Wiatr,,
http://lexbib.org/agents/person#WillsTarrin,Tarrin,Wills,Tarrin Wills,,
http://lexbib.org/agents/person#WissikTanja,Tanja,Wissik,Tanja Wissik,,
http://lexbib.org/agents/person#WolferSascha,Sascha,Wolfer,Sascha Wolfer,,
http://lexbib.org/agents/person#ZmigrodzkiPiotr,Piotr,Żmigrodzki,Piotr Żmigrodzki,101892959,https://viaf.org/viaf/101892959
